sample,feature_version,polarity_id,polarity,intensity,prob_negative,prob_neutral,prob_positive,effective_length,text_unk_content_slots,audio_zero_content_slots,vision_zero_content_slots,additional_random_mask_applied
附件3_01,aligned_50,0,Negative,-0.7529296875,0.8008803526560465,0.07883467276891072,0.12028490255276363,8,0,0,0,False
附件3_02,aligned_50,1,Neutral,0.027557373046875,0.15223993360996246,0.7061171929041544,0.14164285361766815,30,5,5,5,False
附件3_03,aligned_50,1,Neutral,0.07732645670572917,0.17464501659075418,0.5525810718536377,0.27277393639087677,34,5,5,9,False
附件3_04,aligned_50,2,Positive,0.3728841145833333,0.05122930432359377,0.24708942075570425,0.7016812562942505,33,2,2,2,False
附件3_05,aligned_50,0,Negative,-1.2791341145833333,0.9139314889907837,0.05509014862279097,0.030978377908468246,14,0,0,0,False
附件3_06,aligned_50,2,Positive,0.6158854166666666,0.02091156194607417,0.1603571722904841,0.8187312682469686,27,3,3,3,False
附件3_07,aligned_50,2,Positive,0.20255533854166666,0.10237692048152287,0.3698102533817291,0.5278128286202749,23,3,3,3,False
附件3_08,aligned_50,0,Negative,0.02667236328125,0.3926841268936793,0.2561057408650716,0.35121015707651776,17,2,2,2,False
附件3_09,aligned_50,2,Positive,1.0172526041666667,0.008249642327427864,0.08140110472838084,0.9103492895762125,16,2,2,2,False
附件3_10,aligned_50,1,Neutral,0.045583089192708336,0.09036605556805928,0.7811456123987833,0.128488319615523,8,0,0,0,False
附件3_11,aligned_50,1,Neutral,0.07187398274739583,0.19244906306266785,0.5381206969420115,0.269430269797643,16,4,4,4,False
附件3_12,aligned_50,2,Positive,0.09005228678385417,0.2722500413656235,0.3562421302000682,0.371507853269577,15,2,2,2,False
附件3_13,aligned_50,1,Neutral,0.14140828450520834,0.17130487660566965,0.3995155195395152,0.4291796286900838,21,2,2,2,False
附件3_14,aligned_50,0,Negative,-0.6961263020833334,0.7790244023005167,0.16954816381136575,0.05142746244867643,25,2,2,2,False
附件3_15,aligned_50,2,Positive,0.69580078125,0.00899543504541119,0.17210600773493448,0.8188985784848531,29,3,3,3,False
附件3_16,aligned_50,2,Positive,1.2571614583333333,0.02528511205067237,0.036674246502419315,0.9380406339963278,36,4,4,4,False
附件3_17,aligned_50,0,Negative,-0.439849853515625,0.7291750311851501,0.16218249003092447,0.10864250486095746,24,8,8,8,False
附件3_18,aligned_50,2,Positive,0.3218587239583333,0.057488203048706055,0.2944676826397578,0.6480440696080526,19,3,3,3,False
附件3_19,aligned_50,0,Negative,-0.3575439453125,0.625080277522405,0.2974277039368947,0.07749203095833461,26,7,7,7,False
附件3_20,aligned_50,1,Neutral,0.09853108723958333,0.21611514190832773,0.45611894130706787,0.32776594161987305,50,14,14,14,False
附件3_21,aligned_50,2,Positive,0.7632649739583334,0.02100030394891898,0.13206001867850622,0.8469396630922953,11,3,3,3,False
附件3_22,aligned_50,2,Positive,0.2789306640625,0.10267673432826996,0.2727828621864319,0.624540368715922,19,4,4,4,False
附件3_23,aligned_50,2,Positive,0.3387858072916667,0.03726831575234731,0.3068667948246002,0.6558649142583212,15,4,4,4,False
附件3_24,aligned_50,1,Neutral,0.06865946451822917,0.34192313253879547,0.3296864728132884,0.3283904194831848,10,2,2,2,False
附件3_25,aligned_50,1,Neutral,0.10935465494791667,0.17593814432621002,0.48638617992401123,0.33767567078272503,11,2,2,2,False
附件3_26,aligned_50,2,Positive,0.6863606770833334,0.09727087989449501,0.09344655026992162,0.8092825412750244,24,6,6,6,False
附件3_27,aligned_50,2,Positive,0.5028483072916666,0.03258348939319452,0.19774411618709564,0.7696723937988281,23,8,8,8,False
附件3_28,aligned_50,2,Positive,0.43603515625,0.023953727756937344,0.2669622004032135,0.7090840339660645,35,11,11,11,False
附件3_29,aligned_50,2,Positive,0.2919921875,0.1625740130742391,0.22696526845296225,0.6104607383410136,20,8,8,8,False
附件3_30,aligned_50,1,Neutral,0.07190958658854167,0.2685030400753021,0.3925114572048187,0.3389854778846105,26,12,12,12,False
