model,scenario,actual_new_missing_fraction,accuracy_mean,accuracy_sd,accuracy_delta_vs_clean_mean,f1_macro_mean,f1_macro_sd,f1_macro_delta_vs_clean_mean,mae_mean,mae_sd,mae_delta_vs_clean_mean,pearson_mean,pearson_sd,pearson_delta_vs_clean_mean
emoe,clean,0.0,0.614010989010989,0.013940785116884928,0.0,0.5817839996253268,0.01222620185543273,0.0,0.6259151498476664,0.011181444153687239,0.0,0.6119484103150042,0.009014314117574035,0.0
emoe,text_start_30pct,0.2996156533892383,0.6071428571428572,0.016879403471764438,-0.006868131868131844,0.5741183188681456,0.009048239019233227,-0.007665680757181252,0.6301978826522827,0.00904384820257751,0.004282732804616292,0.6042672547771438,0.0072845157895644235,-0.007681155537860455
emoe,text_middle_30pct,0.2996156533892383,0.6153846153846154,0.01888424050119164,0.0013736263736263687,0.5824059785925736,0.011348901816766389,0.0006219789672467316,0.6270256042480469,0.011697255823137671,0.0011104544003804524,0.6082634757277576,0.008086188625712027,-0.0036849345872465764
emoe,text_end_30pct,0.2996156533892383,0.6181318681318682,0.01796249564645882,0.004120879120879106,0.5847982648775788,0.014018005540464258,0.00301426525225205,0.6263415018717448,0.00686933544647312,0.00042635202407836914,0.6052403833981091,0.01112945006532241,-0.006708026916894982
emoe,text_middle_10pct,0.10191008618681574,0.6126373626373627,0.016194816102406043,-0.0013736263736263687,0.5799633338819133,0.013183099280502132,-0.001820665743413515,0.626826008160909,0.011726150801136408,0.0009108583132425944,0.6091278074467853,0.009995773112750201,-0.0028206028682189834
emoe,text_middle_50pct,0.49953412532028885,0.6098901098901099,0.021588233029535307,-0.004120879120879106,0.5782792757834482,0.012296445909667298,-0.003504723841878684,0.6297490994135538,0.01428353338625649,0.003833949565887451,0.6069243052899554,0.00944732826343813,-0.005024105025048724
emoe,audio_start_30pct,0.29880037269974374,0.6144688644688645,0.011437725271791961,0.00045787545787545625,0.5847964136526945,0.01095846879655917,0.003012414027367553,0.6237975557645162,0.011302389848325609,-0.002117594083150228,0.6120644393111752,0.00927186023350998,0.00011602899617087677
emoe,audio_middle_30pct,0.29880037269974374,0.6172161172161172,0.009937057881964638,0.0032051282051281937,0.5856442328881054,0.009196431002676649,0.0038602332627785487,0.6258171995480856,0.009999710506358192,-9.795029958089192e-05,0.6111866840542647,0.0090322584401631,-0.0007617262607394851
emoe,audio_end_30pct,0.29891684136967156,0.6158424908424909,0.005551444896054074,0.001831501831501862,0.5865687774308337,0.004571264902336284,0.0047847778055068275,0.6311265428860983,0.013308777281253115,0.005211393038431804,0.6054569521169242,0.014867802734936986,-0.006491458198080058
emoe,audio_middle_10pct,0.10161891451199627,0.6103479853479854,0.01355187599537432,-0.00366300366300365,0.5790305433727303,0.01046301012952788,-0.0027534562525965978,0.6273729602495829,0.012206556438886915,0.001457810401916504,0.6101699440211222,0.01048212637735724,-0.0017784662938819344
emoe,audio_middle_50pct,0.4981365012811554,0.614010989010989,0.007268547557869791,0.0,0.5850136859796197,0.0064442153760726,0.0032296863542927343,0.6234127283096313,0.008010979361138263,-0.0025024215380350747,0.6114852093281189,0.00771096675998986,-0.00046320098688531114
emoe,vision_start_30pct,0.28400885161891454,0.6130952380952381,0.015439299725354736,-0.0009157509157509125,0.581818122437331,0.009478757404316735,3.4122812004063384e-05,0.6284120877583822,0.010646135646787338,0.002496937910715739,0.6113439842501075,0.008921120732184219,-0.0006044260648966349
emoe,vision_middle_30pct,0.2833682739343117,0.6135531135531136,0.014297156589739934,-0.00045787545787545625,0.5828275745271227,0.01064718893125841,0.0010435749017959257,0.6252350211143494,0.007829257264384777,-0.0006801287333170573,0.6117239968453289,0.008812456450112399,-0.00022441346967531453
emoe,vision_end_30pct,0.28028185418122525,0.6158424908424909,0.014097806152326618,0.001831501831501825,0.5828811637593908,0.011741033088329302,0.0010971641340640215,0.6223043998082479,0.00738804343384678,-0.0036107500394185386,0.6129756081667012,0.009746237595327457,0.001027197851697026
emoe,vision_middle_10pct,0.09637782436524575,0.6144688644688645,0.013055473836431557,0.00045787545787545625,0.5822034026824652,0.012406493501514768,0.000419403057138316,0.6253087917963663,0.010063900851401547,-0.0006063580513000488,0.6123954842198466,0.008783205135212904,0.00044707390484236925
emoe,vision_middle_50pct,0.47198928488236663,0.6076007326007327,0.014428526791747926,-0.006410256410256425,0.5776429040419538,0.01297742219279097,-0.004141095583373056,0.625008225440979,0.004672766985169396,-0.0009069244066874186,0.6102532375194475,0.007863134044061257,-0.001695172795556606
emoe,audio_vision_start_30pct,0.2914046121593291,0.6117216117216118,0.017284419494667465,-0.0022893772893772812,0.5831554583455517,0.01655608584203584,0.0013714587202248534,0.6257720589637756,0.010568015346887484,-0.00014309088389078775,0.6115273845163458,0.009265500144782259,-0.00042102579865839945
emoe,audio_vision_middle_30pct,0.2910843233170277,0.6153846153846154,0.007648027970920392,0.0013736263736263687,0.5849383249524011,0.007884300843603143,0.0031543253270741958,0.6251963178316752,0.006489435002454183,-0.0007188320159912109,0.6108394586933437,0.008922913686163844,-0.0011089516216606181
emoe,audio_vision_end_30pct,0.2895993477754484,0.6135531135531136,0.00804871603994827,-0.00045787545787545625,0.583452358787954,0.00703116346884073,0.0016683591626271976,0.6276851097742716,0.009882463256377478,0.0017699599266052246,0.6064419334734338,0.01568878127268008,-0.005506476841570389
emoe,audio_vision_middle_10pct,0.09899836943862102,0.6112637362637363,0.011974997097639235,-0.0027472527472527375,0.5810959425769805,0.008433951783972812,-0.0006880570483463281,0.6267346143722534,0.010965840305639823,0.0008194645245869955,0.6105890185530379,0.010201229447614793,-0.001359391761966348
emoe,audio_vision_middle_50pct,0.485062893081761,0.6108058608058609,0.01355187599537432,-0.0032051282051282306,0.5820021500477698,0.017345182364834805,0.00021815042244292351,0.6230706572532654,0.001916179446189041,-0.0028444925944010415,0.6094997459018252,0.006359519974056577,-0.002448664413179036
emoe,all_three_start_30pct,0.2941416259026322,0.6085164835164836,0.01995307561309607,-0.005494505494505475,0.5788023167654436,0.013243850850737043,-0.0029816828598833536,0.6299312710762024,0.007856560619275919,0.00401612122853597,0.6041986727751065,0.005730771342937046,-0.007749737539897679
emoe,all_three_middle_30pct,0.2939281000077646,0.6117216117216118,0.01771569791405962,-0.0022893772893772812,0.5798755421359911,0.011924516060908585,-0.0019084574893356947,0.6255345940589905,0.006267408856394546,-0.00038055578867594403,0.6073387227697663,0.007743444556345077,-0.004609687545237866
emoe,all_three_end_30pct,0.29293811631337835,0.6149267399267399,0.011102889792108212,0.0009157509157508755,0.5847510071728865,0.004077467596604701,0.002967007547559667,0.6290120681126913,0.003663318927540754,0.003096918265024821,0.5991486219815402,0.014718572710399017,-0.012799788333463957
emoe,all_three_middle_10pct,0.09996894168801926,0.6098901098901099,0.01453709511573952,-0.004120879120879106,0.5781744347511601,0.009558802151080735,-0.0036095648741667485,0.6273717284202576,0.01110053985571902,0.0014565785725911458,0.6078085786399074,0.011106473212198152,-0.004139831675096757
emoe,all_three_middle_50pct,0.4898866371612703,0.6002747252747254,0.020604395604395587,-0.013736263736263724,0.5719170936451127,0.017780634800989938,-0.009866905980214188,0.6262126167615255,0.0033449894183362333,0.0002974669138590495,0.6044760959136203,0.006372593609327503,-0.007472314401383924
prmf_e,clean,0.0,0.6391941391941391,0.002859431317948019,0.0,0.6069440977056186,0.003848570518666782,0.0,0.6024678746859232,0.008283350661007665,0.0,0.6319646927256172,0.009657991825482631,0.0
prmf_e,text_start_30pct,0.2996156533892383,0.6286630036630036,0.011017591039849745,-0.01053113553113553,0.5898761015341991,0.0075495087719965265,-0.01706799617141941,0.6061413089434305,0.004653145235341739,0.0036734342575073242,0.6181576682866575,0.010021341192556881,-0.013807024438959684
prmf_e,text_middle_30pct,0.2996156533892383,0.6346153846153846,0.0036342737789348645,-0.0045787545787546,0.5972208948467093,0.008660588147589271,-0.009723202858909338,0.5984494090080261,0.005192210654954218,-0.004018465677897136,0.6254378415079114,0.009758416521770018,-0.006526851217705835
prmf_e,text_end_30pct,0.2996156533892383,0.6401098901098901,0.007648027970920392,0.0009157509157509125,0.6002120708598354,0.006648705486919085,-0.00673202684578315,0.6049126784006754,0.004719619522593537,0.0024448037147521973,0.6250323302889348,0.009294423819864908,-0.0069323624366824195
prmf_e,text_middle_10pct,0.10191008618681574,0.6391941391941391,0.002859431317948019,0.0,0.604737245909261,0.00913405687210068,-0.002206851796357564,0.6006739338239034,0.006510298016696258,-0.0017939408620198567,0.629569993384541,0.009253669515693978,-0.0023946993410762043
prmf_e,text_middle_50pct,0.49953412532028885,0.6295787545787546,0.011102889792108208,-0.009615384615384581,0.5868512595226171,0.01521755247603052,-0.02009283818300141,0.6027038097381592,0.006236715427716975,0.00023593505223592123,0.6209462778844909,0.011014100598689777,-0.011018414841126275
prmf_e,audio_start_30pct,0.29880037269974374,0.635989010989011,0.00237919066973746,-0.0032051282051282306,0.606181885140547,0.004266988715571397,-0.000762212565071474,0.6012564698855082,0.008292784091491257,-0.001211404800415039,0.6318560057259833,0.009260775276414767,-0.00010868699963388166
prmf_e,audio_middle_30pct,0.29880037269974374,0.6378205128205128,0.004196497889153733,-0.0013736263736263687,0.6073463859918475,0.0020699218872742542,0.00040228828622890234,0.6014891465504965,0.008135806430118594,-0.0009787281354268391,0.6316306106501987,0.009428949536873028,-0.0003340820754185181
prmf_e,audio_end_30pct,0.29891684136967156,0.6382783882783882,0.0020982489445768426,-0.0009157509157509495,0.607319288020841,0.004418079899380079,0.00037519031522248447,0.6014200448989868,0.008027319701200138,-0.0010478297869364421,0.6319244635299918,0.008958270868307961,-4.0229195625444504e-05
prmf_e,audio_middle_10pct,0.10161891451199627,0.6391941391941391,0.003965317782895831,3.700743415417188e-17,0.6071723594473356,0.002119208569890072,0.00022826174171704702,0.602047880490621,0.008340090444664303,-0.00041999419530232746,0.6319364744681332,0.009597098839438751,-2.8218257484076876e-05
prmf_e,audio_middle_50pct,0.4981365012811554,0.6346153846153846,0.00237919066973746,-0.0045787545787546,0.6052181760103074,0.00631050808487074,-0.001725921695311235,0.6008901993433634,0.008146361837258847,-0.0015776753425598145,0.631296661736192,0.009224791565329642,-0.0006680309894251021
prmf_e,vision_start_30pct,0.28400885161891454,0.6405677655677655,0.0067759379976871925,0.0013736263736263687,0.6086966320195882,0.008233918980173142,0.0017525343139697114,0.5989911556243896,0.007405148545402856,-0.00347671906153361,0.6336205152763364,0.009777465966320256,0.001655822550719277
prmf_e,vision_middle_30pct,0.2833682739343117,0.6405677655677655,0.004415591007780705,0.0013736263736263687,0.6078207051019429,0.006723047901370586,0.0008766073963242249,0.5988043347994486,0.006563895768425647,-0.0036635398864746094,0.6344069398684847,0.009033620133439103,0.0024422471428675596
prmf_e,vision_end_30pct,0.28028185418122525,0.6396520146520146,0.007810770196534824,0.00045787545787545625,0.6076208691666833,0.008892842701681966,0.0006767714610647809,0.5984484553337097,0.007470622074967338,-0.004019419352213542,0.633976470011978,0.009367404861766654,0.0020117772863607795
prmf_e,vision_middle_10pct,0.09637782436524575,0.6396520146520146,0.005718862635896011,0.0004578754578754933,0.6074409326287377,0.002680552686099327,0.0004968349231191013,0.600983182589213,0.0076439693813812395,-0.001484692096710205,0.6329387626050433,0.009500703827125251,0.0009740698794261279
prmf_e,vision_middle_50pct,0.47198928488236663,0.6364468864468864,0.009146055107801395,-0.0027472527472527375,0.6037551466531368,0.008294579540924473,-0.0031889510524817366,0.5970321893692017,0.005709579351863339,-0.005435685316721599,0.6352809822013912,0.0085051239465566,0.0033162894757739294
prmf_e,audio_vision_start_30pct,0.2914046121593291,0.6323260073260073,0.005551444896054075,-0.006868131868131881,0.6030972160078468,0.007738251177368426,-0.003846881697771735,0.5979993939399719,0.007666149829011782,-0.004468480745951335,0.6333138972782298,0.009435271324306806,0.0013492045526125596
