width,seed,scenario,accuracy,f1_macro,mae,pearson,actual_new_missing_fraction
64,1111,clean,0.6112637362637363,0.6029107316224799,0.6095312767672342,0.6386639126809431,0
64,1111,text_start_30pct,0.6043956043956044,0.5926257534629769,0.6200208290797341,0.6220381762871701,0.2996156533892383
64,1111,text_middle_30pct,0.6071428571428571,0.5945131039473402,0.6192232868378307,0.63323073172697,0.2996156533892383
64,1111,text_end_30pct,0.6126373626373627,0.6030886095917133,0.61612350724965,0.636106410361017,0.2996156533892383
64,1111,text_middle_10pct,0.603021978021978,0.5935676090693519,0.6129319452690881,0.6346226975826201,0.10191008618681574
64,1111,text_middle_50pct,0.6112637362637363,0.5952296717759218,0.6255403640219471,0.6321493281361449,0.49953412532028885
64,1111,audio_start_30pct,0.5975274725274725,0.5921308517943341,0.6124093381299095,0.6357374483377825,0.29880037269974374
64,1111,audio_middle_30pct,0.592032967032967,0.5884421720916616,0.6037341701992593,0.6407567663496408,0.29880037269974374
64,1111,audio_end_30pct,0.5590659340659341,0.5599917389938581,0.6117267732477778,0.6319024419397856,0.29891684136967156
64,1111,audio_middle_10pct,0.6071428571428571,0.5998578676424762,0.6112124506629758,0.637762987017049,0.10161891451199627
64,1111,audio_middle_50pct,0.5604395604395604,0.5624447095038069,0.6110349849562396,0.6300508709468163,0.4981365012811554
64,1111,vision_start_30pct,0.6098901098901099,0.6009266434381187,0.6103816713810295,0.6377410951613346,0.28400885161891454
64,1111,vision_middle_30pct,0.6126373626373627,0.6041404951354471,0.6062963030372674,0.640170361763314,0.2833682739343117
64,1111,vision_end_30pct,0.6071428571428571,0.5989187658122973,0.6055034531873988,0.6381374924041209,0.28028185418122525
64,1111,vision_middle_10pct,0.614010989010989,0.605179616346359,0.6089478865634281,0.6391929812543454,0.09637782436524575
64,1111,vision_middle_50pct,0.6167582417582418,0.6080341852477149,0.6052045801060868,0.6401481485016995,0.47198928488236663
64,1111,audio_vision_start_30pct,0.6181318681318682,0.6092343068163238,0.6118114437744185,0.634926921847598,0.2914046121593291
64,1111,audio_vision_middle_30pct,0.5906593406593407,0.5870961818036137,0.6015507581510714,0.6413039305429884,0.2910843233170277
64,1111,audio_vision_end_30pct,0.5604395604395604,0.5614546907504999,0.6071644366647189,0.6308431789379109,0.2895993477754484
64,1111,audio_vision_middle_10pct,0.6085164835164835,0.6004468242751004,0.610695531428024,0.6381783792993099,0.09899836943862102
64,1111,audio_vision_middle_50pct,0.5618131868131868,0.5625751469201106,0.6067431615153839,0.6292979562660143,0.485062893081761
64,2222,clean,0.5906593406593407,0.5860462221636483,0.636755967226166,0.6056223778854763,0
64,2222,text_start_30pct,0.5865384615384616,0.5812163983435027,0.6436285301428902,0.5961027926479386,0.2996156533892383
64,2222,text_middle_30pct,0.5989010989010989,0.5918231113622285,0.638966300842035,0.5989653314633442,0.2996156533892383
64,2222,text_end_30pct,0.5934065934065934,0.589640546493504,0.6397357472720054,0.5859921599533594,0.2996156533892383
64,2222,text_middle_10pct,0.5947802197802198,0.5881974558156444,0.6378020809779128,0.6036333785388142,0.10191008618681574
64,2222,text_middle_50pct,0.5906593406593407,0.5842873173958518,0.6451084482186771,0.5919891868253849,0.49953412532028885
64,2222,audio_start_30pct,0.5837912087912088,0.5782453579288455,0.6411661779364715,0.6017840512500484,0.29880037269974374
64,2222,audio_middle_30pct,0.6071428571428571,0.5992103390744082,0.6380235570186115,0.5991832735910997,0.29880037269974374
64,2222,audio_end_30pct,0.5989010989010989,0.5961926198059772,0.6398056000675801,0.6036839551108246,0.29891684136967156
64,2222,audio_middle_10pct,0.6002747252747253,0.5942034618216504,0.6387499408120965,0.6040099940578388,0.10161891451199627
64,2222,audio_middle_50pct,0.5989010989010989,0.5895271484867898,0.633788185890068,0.6054996861712136,0.4981365012811554
64,2222,vision_start_30pct,0.5865384615384616,0.5819991132502179,0.6406188384721895,0.6022239194744322,0.28400885161891454
64,2222,vision_middle_30pct,0.5879120879120879,0.5835685382919934,0.6346537134518008,0.6077773851336035,0.2833682739343117
64,2222,vision_end_30pct,0.5947802197802198,0.5885840408330222,0.6343890308392245,0.6077588560923156,0.28028185418122525
64,2222,vision_middle_10pct,0.5892857142857143,0.5844132102013334,0.6356700129274812,0.6071055869210323,0.09637782436524575
64,2222,vision_middle_50pct,0.5892857142857143,0.5853866666489845,0.6351592603170282,0.6061313442624622,0.47198928488236663
64,2222,audio_vision_start_30pct,0.5906593406593407,0.5883841866506417,0.6443838158028794,0.5987643584875086,0.2914046121593291
64,2222,audio_vision_middle_30pct,0.5947802197802198,0.5878705587671829,0.6352993789650909,0.6020774358733951,0.2910843233170277
64,2222,audio_vision_end_30pct,0.5947802197802198,0.5907353379316548,0.6362397166603542,0.6060239140496834,0.2895993477754484
64,2222,audio_vision_middle_10pct,0.5947802197802198,0.589535509490381,0.6376373142536197,0.6056496591807408,0.09899836943862102
64,2222,audio_vision_middle_50pct,0.5934065934065934,0.5829688216320387,0.6312400543304918,0.608646070115747,0.485062893081761
64,3333,clean,0.5947802197802198,0.5486947221690169,0.6345594290562055,0.6002647057088559,0
64,3333,text_start_30pct,0.5906593406593407,0.5326135604484907,0.6328551494362917,0.5838436420831229,0.2996156533892383
64,3333,text_middle_30pct,0.5851648351648352,0.5362212656702371,0.6392259450608885,0.5882654545348716,0.2996156533892383
64,3333,text_end_30pct,0.6002747252747253,0.5549376114081996,0.6393267953829779,0.587178939185431,0.2996156533892383
64,3333,text_middle_10pct,0.5906593406593407,0.5437115115448511,0.6366020032706169,0.5957353141194451,0.10191008618681574
64,3333,text_middle_50pct,0.5851648351648352,0.531820789218012,0.6415575081380186,0.5840533986089343,0.49953412532028885
64,3333,audio_start_30pct,0.5947802197802198,0.5563722604465834,0.6357160550593347,0.6026645831717108,0.29880037269974374
64,3333,audio_middle_30pct,0.5975274725274725,0.555615230711202,0.6353845719329931,0.6018853801572807,0.29880037269974374
64,3333,audio_end_30pct,0.5975274725274725,0.5472624046388581,0.6392970240910302,0.5934857504967047,0.29891684136967156
64,3333,audio_middle_10pct,0.6057692307692307,0.5609625617396724,0.6349553763252366,0.6030615625850662,0.10161891451199627
64,3333,audio_middle_50pct,0.5961538461538461,0.5536607549647016,0.6359091850795916,0.6008617129576863,0.4981365012811554
64,3333,vision_start_30pct,0.5934065934065934,0.5438744442920647,0.6323589117849594,0.5990519296778561,0.28400885161891454
64,3333,vision_middle_30pct,0.603021978021978,0.5513589888803805,0.6305809608241032,0.599472260810413,0.2833682739343117
64,3333,vision_end_30pct,0.5947802197802198,0.5448705400676878,0.6320063088826098,0.5978950556818449,0.28028185418122525
64,3333,vision_middle_10pct,0.6016483516483516,0.5547434671068107,0.6332993871931519,0.600277121015702,0.09637782436524575
64,3333,vision_middle_50pct,0.5934065934065934,0.5388776649273344,0.6284933819097804,0.5985373220243064,0.47198928488236663
64,3333,audio_vision_start_30pct,0.5989010989010989,0.5613969053920559,0.6323869045987561,0.6017277234036864,0.2914046121593291
64,3333,audio_vision_middle_30pct,0.6043956043956044,0.5571555249817786,0.6313442520920064,0.600485731179642,0.2910843233170277
64,3333,audio_vision_end_30pct,0.5947802197802198,0.535259245290361,0.6362402957587779,0.5917589473908447,0.2895993477754484
64,3333,audio_vision_middle_10pct,0.6085164835164835,0.5629004472112847,0.6336147298238107,0.6028313248517038,0.09899836943862102
64,3333,audio_vision_middle_50pct,0.5934065934065934,0.5347351127241026,0.628966855908652,0.599325807943185,0.485062893081761
256,1111,clean,0.625,0.5778478019750283,0.6086505795777827,0.637146035484714,0
256,1111,text_start_30pct,0.6277472527472527,0.5812343603327668,0.6180543347087862,0.6255623865066186,0.2996156533892383
256,1111,text_middle_30pct,0.625,0.5739998791740074,0.6134468235362035,0.6322420115967151,0.2996156533892383
256,1111,text_end_30pct,0.6332417582417582,0.5801379590180564,0.6112805211322976,0.6376825474360104,0.2996156533892383
256,1111,text_middle_10pct,0.6236263736263736,0.5743833330584521,0.61032084672415,0.6335091725644716,0.10191008618681574
256,1111,text_middle_50pct,0.6208791208791209,0.5655972129348209,0.6142221755747285,0.6327882119214614,0.49953412532028885
256,1111,audio_start_30pct,0.6263736263736264,0.581507144774153,0.6073609290255623,0.640326808428616,0.29880037269974374
256,1111,audio_middle_30pct,0.6208791208791209,0.5753232351417166,0.6021402481697745,0.6353134563134534,0.29880037269974374
256,1111,audio_end_30pct,0.6057692307692307,0.5630593702324465,0.6076228104654576,0.6302644320622895,0.29891684136967156
256,1111,audio_middle_10pct,0.6263736263736264,0.5764662695792796,0.6060845982283354,0.6364091822618859,0.10161891451199627
256,1111,audio_middle_50pct,0.6195054945054945,0.5698059360730593,0.6032446996400972,0.6295948899428643,0.4981365012811554
256,1111,vision_start_30pct,0.6277472527472527,0.582468663140932,0.6105652705530872,0.6355684648671258,0.28400885161891454
256,1111,vision_middle_30pct,0.6304945054945055,0.5818769117222445,0.6127437774992579,0.6363823502458268,0.2833682739343117
256,1111,vision_end_30pct,0.6291208791208791,0.5808730645178684,0.6108531880059412,0.6357974953896193,0.28028185418122525
256,1111,vision_middle_10pct,0.625,0.5767630211651006,0.6085359003231093,0.6379800010068996,0.09637782436524575
256,1111,vision_middle_50pct,0.6263736263736264,0.5728723544375255,0.6174217492219184,0.6341650077580786,0.47198928488236663
256,1111,audio_vision_start_30pct,0.6332417582417582,0.5886178071007461,0.6096969582754505,0.6385043746374341,0.2914046121593291
256,1111,audio_vision_middle_30pct,0.6208791208791209,0.5702293737224512,0.6048580872529483,0.6340918842165864,0.2910843233170277
256,1111,audio_vision_end_30pct,0.6085164835164835,0.56301364796497,0.6074685419367237,0.6288495875312854,0.2895993477754484
256,1111,audio_vision_middle_10pct,0.6291208791208791,0.5808647442034434,0.6058638763337673,0.6371610473273579,0.09899836943862102
256,1111,audio_vision_middle_50pct,0.6222527472527473,0.5679839126305154,0.6088529306330851,0.6241815730758651,0.485062893081761
256,2222,clean,0.6195054945054945,0.5973839108855296,0.6495597374185429,0.5984226507067257,0
256,2222,text_start_30pct,0.614010989010989,0.5916832839374366,0.6697513204231694,0.586397369918096,0.2996156533892383
256,2222,text_middle_30pct,0.6263736263736264,0.6054293216044714,0.6530670510748258,0.590749948536985,0.2996156533892383
256,2222,text_end_30pct,0.6002747252747253,0.5785182361261935,0.655703806717481,0.5854813507900956,0.2996156533892383
256,2222,text_middle_10pct,0.625,0.6036788919560405,0.65057588640887,0.5943011914728142,0.10191008618681574
256,2222,text_middle_50pct,0.6057692307692307,0.5842500820969042,0.6580199524964933,0.5844699107857446,0.49953412532028885
256,2222,audio_start_30pct,0.6098901098901099,0.5923684192691551,0.6447061860504059,0.5989280963457763,0.29880037269974374
256,2222,audio_middle_30pct,0.6167582417582418,0.5964387771074632,0.6537529778062969,0.5959664259894719,0.29880037269974374
256,2222,audio_end_30pct,0.6153846153846154,0.5918617222356862,0.6522811942907808,0.5949214490053272,0.29891684136967156
