variant,seed,scenario,actual_new_missing_fraction,accuracy,f1_macro,mae,pearson
consistency,2222,clean,0.0,0.6236263736263736,0.6005196239402005,0.6037653684616089,0.6283259460470917
consistency,2222,text_start_30pct,0.2996156533892383,0.6236263736263736,0.5914761225524945,0.6046704053878784,0.6166316331885168
consistency,2222,text_middle_30pct,0.2996156533892383,0.6401098901098901,0.6114102538650171,0.5998871326446533,0.6222253992590879
consistency,2222,text_end_30pct,0.2996156533892383,0.6332417582417582,0.6046451687597819,0.6023550629615784,0.6279423915981391
consistency,2222,text_middle_10pct,0.10191008618681574,0.6291208791208791,0.6048522047009187,0.6019721627235413,0.626300277107505
consistency,2222,text_middle_50pct,0.49953412532028885,0.6332417582417582,0.6000230075414419,0.6008611917495728,0.6228702350440871
consistency,2222,audio_start_30pct,0.29880037269974374,0.6263736263736264,0.6069148145473193,0.6030181646347046,0.6279075642593652
consistency,2222,audio_middle_30pct,0.29880037269974374,0.6222527472527473,0.5995278125897459,0.6029684543609619,0.6277366822611247
consistency,2222,audio_end_30pct,0.29891684136967156,0.6236263736263736,0.6012525780424761,0.6032227873802185,0.6284404376061701
consistency,2222,audio_middle_10pct,0.10161891451199627,0.625,0.601600750303671,0.6035926938056946,0.6280796025795262
consistency,2222,audio_middle_50pct,0.4981365012811554,0.6195054945054945,0.5973718089119976,0.6023104190826416,0.6275003463253195
consistency,2222,vision_start_30pct,0.28400885161891454,0.6318681318681318,0.6101149868289176,0.6016378998756409,0.6289276001484084
consistency,2222,vision_middle_30pct,0.2833682739343117,0.625,0.6017739025769607,0.6005280613899231,0.6307363744727588
consistency,2222,vision_end_30pct,0.28028185418122525,0.6291208791208791,0.6072149442658002,0.6014964580535889,0.6290374767999811
consistency,2222,vision_middle_10pct,0.09637782436524575,0.625,0.601600750303671,0.6024853587150574,0.6293152476852961
consistency,2222,vision_middle_50pct,0.47198928488236663,0.6291208791208791,0.6067704944476945,0.599368155002594,0.6311357601163974
consistency,2222,audio_vision_start_30pct,0.2914046121593291,0.6304945054945055,0.6113048712675023,0.6011199951171875,0.6283517301902967
consistency,2222,audio_vision_middle_30pct,0.2910843233170277,0.6208791208791209,0.5988095306750019,0.5997627377510071,0.6301356844387959
consistency,2222,audio_vision_end_30pct,0.2895993477754484,0.6291208791208791,0.6074031319944918,0.6009314656257629,0.6291406489002593
consistency,2222,audio_vision_middle_10pct,0.09899836943862102,0.625,0.601600750303671,0.6022992134094238,0.6290485205169566
consistency,2222,audio_vision_middle_50pct,0.485062893081761,0.6208791208791209,0.5998014255682967,0.5981707572937012,0.6303742962406929
consistency,2222,all_three_start_30pct,0.2941416259026322,0.6304945054945055,0.6038518135682035,0.6036263108253479,0.6158900574359727
consistency,2222,all_three_middle_30pct,0.2939281000077646,0.6346153846153846,0.6068529310061593,0.5965923070907593,0.6240971795735528
consistency,2222,all_three_end_30pct,0.29293811631337835,0.6332417582417582,0.6051088972672559,0.6016466617584229,0.6279930651172682
consistency,2222,all_three_middle_10pct,0.09996894168801926,0.625,0.6000449613661919,0.6004564762115479,0.626999363846294
consistency,2222,all_three_middle_50pct,0.4898866371612703,0.6222527472527473,0.5943060904548157,0.5989574790000916,0.6248072332545453
