id,modality,slot_start,slot_end_inclusive,probability_drop,regression_signed_change,importance,selected
01,Text,1,4,0.034121,-0.015381,0.034633,True
01,Text,5,8,0.030801,-0.009562,0.031119,False
01,Text,9,12,0.00846,0.005859,0.008656,False
01,Text,13,16,-0.001719,0.01359,0.000453,False
01,Text,17,20,-0.01596,0.017965,0.000599,False
01,Text,21,22,0.007662,-0.001851,0.007724,False
01,Vision,1,4,0.012701,-0.003886,0.01283,True
01,Vision,5,8,0.005119,2e-05,0.005119,False
01,Vision,9,12,0.007937,-0.003092,0.00804,False
01,Vision,13,16,0.005356,-0.000854,0.005384,False
01,Vision,17,20,-0.00605,0.007975,0.000266,False
01,Vision,21,22,-0.002792,0.003845,0.000128,False
01,Audio,1,4,-0.009106,0.003418,0.000114,False
01,Audio,5,8,-0.009951,0.00533,0.000178,True
01,Audio,9,12,-0.009027,0.004618,0.000154,False
01,Audio,13,16,-0.003321,0.001322,4.4e-05,False
01,Audio,17,20,-0.003753,0.003499,0.000117,False
01,Audio,21,22,-0.002452,0.002991,0.0001,False
02,Text,1,4,0.025118,0.028564,0.02607,False
02,Text,5,8,0.062825,0.05836,0.06477,False
02,Text,9,12,0.063659,0.056224,0.065533,True
02,Text,13,16,0.013869,0.018575,0.014488,False
02,Text,17,19,-0.045125,-0.045044,0.001501,False
02,Vision,1,4,-0.018011,-0.016907,0.000564,False
02,Vision,5,8,-0.017951,-0.017131,0.000571,False
02,Vision,9,12,-0.019709,-0.019185,0.00064,False
02,Vision,13,16,-0.020412,-0.019999,0.000667,True
02,Vision,17,19,-0.01708,-0.01534,0.000511,False
02,Audio,1,4,0.003338,0.00118,0.003377,False
02,Audio,5,8,0.006321,0.003825,0.006448,True
02,Audio,9,12,0.004734,0.003967,0.004867,False
02,Audio,13,16,0.002889,-0.000854,0.002917,False
02,Audio,17,19,0.001287,0.001343,0.001332,False
03,Text,1,4,0.014578,-0.044759,0.01607,False
03,Text,5,8,-0.053012,0.043966,0.001466,False
03,Text,9,12,0.010169,-0.022095,0.010905,False
03,Text,13,16,-0.018477,0.001302,4.3e-05,False
03,Text,17,20,-0.004265,-0.016215,0.000541,False
03,Text,21,24,0.018894,-0.041585,0.020281,True
03,Text,25,28,0.01252,-0.033346,0.013632,False
03,Text,29,32,0.004214,-0.025675,0.005069,False
03,Text,33,33,-0.007546,0.007751,0.000258,False
03,Vision,1,4,-0.003465,-0.002726,9.1e-05,False
03,Vision,5,8,-0.000755,-0.006144,0.000205,False
03,Vision,9,12,0.00311,-0.00946,0.003426,False
03,Vision,13,16,0.009751,-0.010559,0.010103,False
03,Vision,17,20,0.013577,-0.010356,0.013922,True
03,Vision,21,24,0.004378,-0.006022,0.004579,False
03,Vision,25,28,0.003389,-0.006368,0.003602,False
03,Vision,29,32,-0.002331,-0.004211,0.00014,False
03,Vision,33,33,-0.000751,-0.000712,2.4e-05,False
03,Audio,1,4,0.008813,-0.008993,0.009113,False
03,Audio,5,8,0.00647,-0.005575,0.006656,False
03,Audio,9,12,0.0105,-0.009013,0.0108,True
03,Audio,13,16,0.000904,-0.004679,0.00106,False
03,Audio,17,20,0.001516,-0.003011,0.001617,False
03,Audio,21,24,0.002149,-0.002096,0.002219,False
03,Audio,25,28,0.004664,-0.009521,0.004982,False
03,Audio,29,32,0.001705,-0.002991,0.001805,False
03,Audio,33,33,0.000876,-0.001017,0.00091,False
04,Text,1,4,0.045176,-0.080121,0.047847,False
04,Text,5,8,-0.022934,0.028259,0.000942,False
04,Text,9,12,0.055325,-0.093018,0.058426,False
04,Text,13,16,0.007228,-0.008046,0.007496,False
04,Text,17,20,-0.046336,0.0784,0.002613,False
04,Text,21,24,0.061708,-0.08785,0.064637,True
04,Text,25,26,0.057061,-0.085635,0.059916,False
04,Vision,1,4,0.0047,-0.004939,0.004864,True
04,Vision,5,8,-0.00546,-0.001129,3.8e-05,False
04,Vision,9,12,0.001279,-0.006577,0.001499,False
04,Vision,13,16,0.00257,-0.010376,0.002916,False
04,Vision,17,20,0.004713,-0.000717,0.004737,False
04,Vision,21,24,0.000845,0.001678,0.000901,False
04,Vision,25,26,0.00215,0.000285,0.002159,False
04,Audio,1,4,0.00472,-0.007294,0.004963,False
04,Audio,5,8,0.002021,-0.005351,0.002199,False
04,Audio,9,12,0.006788,-0.011312,0.007165,True
04,Audio,13,16,-0.000195,-0.005798,0.000193,False
04,Audio,17,20,0.000876,-0.001841,0.000937,False
04,Audio,21,24,0.001298,-0.002452,0.00138,False
04,Audio,25,26,0.001658,-0.004191,0.001797,False
05,Text,1,4,0.019628,0.055339,0.021473,True
05,Text,5,8,-0.004881,0.004313,0.000144,False
05,Text,9,12,-0.005926,0.003092,0.000103,False
05,Text,13,15,-0.003688,-0.000488,1.6e-05,False
05,Vision,1,4,0.041585,0.074544,0.04407,True
05,Vision,5,8,0.027005,0.053874,0.028801,False
05,Vision,9,12,0.007156,0.018229,0.007764,False
05,Vision,13,15,-0.002853,-0.003825,0.000127,False
05,Audio,1,4,0.006313,0.005127,0.006484,False
05,Audio,5,8,0.007349,0.009359,0.007661,True
05,Audio,9,12,0.006622,0.008952,0.006921,False
05,Audio,13,15,0.002451,0.003174,0.002557,False
06,Text,1,4,0.015513,0.034993,0.016679,False
06,Text,5,8,0.038615,0.083333,0.041393,False
06,Text,9,12,0.022559,0.054036,0.024361,False
06,Text,13,16,0.020226,0.040446,0.021574,False
06,Text,17,20,0.032498,0.059814,0.034492,False
06,Text,21,24,0.046088,0.096598,0.049308,True
06,Text,25,28,0.011232,0.033366,0.012345,False
06,Text,29,32,-0.007887,-0.020833,0.000694,False
06,Text,33,35,0.012285,0.026693,0.013175,False
06,Vision,1,4,-0.005614,-0.004069,0.000136,False
06,Vision,5,8,-0.006357,-0.005859,0.000195,False
06,Vision,9,12,-0.011237,-0.020345,0.000678,False
06,Vision,13,16,-0.012748,-0.024414,0.000814,True
06,Vision,17,20,-0.012032,-0.017253,0.000575,False
06,Vision,21,24,-0.010577,-0.016439,0.000548,False
06,Vision,25,28,-0.00597,-0.007487,0.00025,False
06,Vision,29,32,-0.004714,-0.003092,0.000103,False
06,Vision,33,35,-0.001034,0.001465,4.9e-05,False
06,Audio,1,4,0.00202,0.00179,0.00208,False
06,Audio,5,8,0.004291,0.007487,0.00454,True
06,Audio,9,12,0.00308,0.00651,0.003297,False
06,Audio,13,16,0.00152,-0.000326,0.001531,False
06,Audio,17,20,0.000839,0.000814,0.000866,False
06,Audio,21,24,0.000285,0.00179,0.000345,False
06,Audio,25,28,-4.4e-05,0.001139,3.8e-05,False
06,Audio,29,32,0.001403,0.005859,0.001598,False
06,Audio,33,35,0.000545,0.003581,0.000665,False
07,Text,1,4,-0.015243,-0.027018,0.000901,False
07,Text,5,8,-0.005597,-0.005208,0.000174,False
07,Text,9,12,-0.019331,-0.040039,0.001335,False
07,Text,13,16,0.011556,0.032633,0.012644,False
07,Text,17,20,0.009689,0.026042,0.010557,False
07,Text,21,24,0.030434,0.072021,0.032835,True
07,Text,25,28,0.012391,0.037679,0.013647,False
07,Text,29,32,0.007172,0.025472,0.008021,False
07,Text,33,36,-0.007284,-0.006348,0.000212,False
07,Text,37,40,-0.00959,-0.009277,0.000309,False
07,Text,41,44,0.009328,0.032959,0.010427,False
07,Text,45,48,0.017601,0.047038,0.019169,False
07,Vision,1,4,-0.010911,-0.020671,0.000689,False
07,Vision,5,8,-0.0098,-0.018392,0.000613,False
07,Vision,9,12,-0.00861,-0.017253,0.000575,False
07,Vision,13,16,-0.001149,-0.004069,0.000136,False
07,Vision,17,20,-0.002589,-0.006185,0.000206,False
07,Vision,21,24,-0.003701,-0.00944,0.000315,False
07,Vision,25,28,-0.000442,0.0,0.0,False
07,Vision,29,32,-0.00035,0.001628,5.4e-05,False
07,Vision,33,36,0.004014,0.008301,0.00429,False
07,Vision,37,40,0.008941,0.019613,0.009595,True
07,Vision,41,44,0.008201,0.018311,0.008811,False
07,Vision,45,48,0.007907,0.016927,0.008471,False
07,Audio,1,4,0.006869,0.00887,0.007165,False
07,Audio,5,8,0.008307,0.013753,0.008765,True
07,Audio,9,12,0.007161,0.011068,0.00753,False
07,Audio,13,16,0.002878,0.005208,0.003052,False
07,Audio,17,20,0.002389,0.007487,0.002639,False
07,Audio,21,24,0.00072,0.006185,0.000926,False
07,Audio,25,28,0.001122,0.003906,0.001252,False
07,Audio,29,32,0.003081,0.008138,0.003352,False
07,Audio,33,36,0.005418,0.011719,0.005809,False
07,Audio,37,40,0.00312,0.005697,0.00331,False
07,Audio,41,44,0.005246,0.010091,0.005582,False
07,Audio,45,48,0.003386,0.008789,0.003679,False
08,Text,1,4,0.021075,0.079264,0.023718,True
08,Text,5,8,-0.00037,0.013835,0.000461,False
08,Text,9,11,0.001226,0.013997,0.001693,False
08,Vision,1,4,-0.006339,-0.028158,0.000939,True
08,Vision,5,8,-0.005544,-0.028158,0.000939,False
08,Vision,9,11,-0.002664,-0.016113,0.000537,False
08,Audio,1,4,0.00499,0.005208,0.005163,False
08,Audio,5,8,0.005431,0.008952,0.005729,True
08,Audio,9,11,0.003578,0.007975,0.003843,False
09,Text,1,4,0.001716,-0.053385,0.003496,False
09,Text,5,8,0.003835,-0.121745,0.007893,False
09,Text,9,12,0.00407,-0.117188,0.007976,False
09,Text,13,16,0.004128,-0.125651,0.008317,True
09,Text,17,18,0.002775,-0.083984,0.005575,False
09,Vision,1,4,-0.001135,0.005208,0.000174,False
09,Vision,5,8,-0.001044,0.009766,0.000326,False
09,Vision,9,12,-0.000495,0.011068,0.000369,False
09,Vision,13,16,0.000665,-0.003255,0.000773,True
09,Vision,17,18,0.000179,-0.001302,0.000222,False
09,Audio,1,4,0.000298,0.002604,0.000385,False
09,Audio,5,8,0.000121,-0.003906,0.000251,False
09,Audio,9,12,0.000544,-0.007161,0.000783,True
09,Audio,13,16,-2e-06,-0.001953,6.5e-05,False
09,Audio,17,18,0.000109,-0.001302,0.000152,False
10,Text,1,4,0.000739,-0.020508,0.001423,False
10,Text,5,8,0.00352,-0.056966,0.005419,False
10,Text,9,12,0.008048,-0.1097,0.011705,False
10,Text,13,16,0.006633,-0.071615,0.00902,False
10,Text,17,20,0.003805,-0.064128,0.005943,False
10,Text,21,24,0.003995,-0.056315,0.005872,False
10,Text,25,28,0.027086,-0.270508,0.036103,True
10,Text,29,30,0.018104,-0.190104,0.024441,False
10,Vision,1,4,-0.001182,-0.012044,0.000401,False
10,Vision,5,8,0.001591,-0.027669,0.002513,True
10,Vision,9,12,0.00018,-0.017253,0.000755,False
10,Vision,13,16,0.000735,-0.020508,0.001418,False
10,Vision,17,20,0.001274,-0.014648,0.001762,False
10,Vision,21,24,0.00044,-0.010742,0.000798,False
10,Vision,25,28,0.000218,-0.010742,0.000576,False
10,Vision,29,30,-0.000329,-0.001302,4.3e-05,False
10,Audio,1,4,0.000607,-0.001953,0.000672,False
10,Audio,5,8,-0.000174,-0.005859,0.000195,False
10,Audio,9,12,0.001006,-0.01237,0.001419,True
10,Audio,13,16,-6.9e-05,-0.005859,0.000195,False
10,Audio,17,20,-0.000129,-0.001628,5.4e-05,False
10,Audio,21,24,-7e-06,0.000977,3.3e-05,False
10,Audio,25,28,0.000286,-0.006836,0.000514,False
10,Audio,29,30,-0.000421,0.001628,5.4e-05,False
11,Text,1,4,0.055439,-0.196615,0.061993,True
11,Text,5,8,0.026099,-0.092773,0.029191,False
11,Text,9,12,0.011325,-0.039876,0.012654,False
11,Text,13,14,0.011973,-0.039388,0.013285,False
11,Vision,1,4,0.003248,-0.031576,0.0043,True
11,Vision,5,8,0.001369,-0.028158,0.002307,False
11,Vision,9,12,0.000773,-0.023438,0.001555,False
11,Vision,13,14,-0.000628,-0.006348,0.000212,False
11,Audio,1,4,0.004042,-0.01416,0.004514,False
11,Audio,5,8,0.002757,-0.016439,0.003305,False
11,Audio,9,12,0.005993,-0.02181,0.00672,True
11,Audio,13,14,-8.7e-05,-0.004232,0.000141,False
12,Text,1,4,-0.000793,-0.02474,0.000825,False
12,Text,5,8,0.002393,-0.031576,0.003446,False
12,Text,9,12,0.002447,-0.03418,0.003586,False
12,Text,13,16,0.007684,-0.100586,0.011037,False
12,Text,17,20,0.003944,-0.050781,0.005636,False
12,Text,21,24,0.009585,-0.138346,0.014196,False
12,Text,25,28,0.006944,-0.092122,0.010015,False
12,Text,29,32,0.005533,-0.085938,0.008397,False
12,Text,33,36,0.011625,-0.162435,0.017039,True
12,Text,37,40,0.010257,-0.14974,0.015248,False
12,Text,41,42,0.008462,-0.128906,0.012759,False
12,Vision,1,4,0.002782,-0.029948,0.003781,False
12,Vision,5,8,0.002544,-0.027995,0.003477,False
12,Vision,9,12,0.00211,-0.020833,0.002804,False
12,Vision,13,16,0.002424,-0.02474,0.003249,False
12,Vision,17,20,0.00263,-0.025716,0.003487,False
12,Vision,21,24,0.002532,-0.026042,0.0034,False
12,Vision,25,28,0.00251,-0.02181,0.003237,False
12,Vision,29,32,0.002695,-0.025065,0.003531,False
12,Vision,33,36,0.003331,-0.02832,0.004275,True
12,Vision,37,40,0.002391,-0.022135,0.003129,False
12,Vision,41,42,0.001244,-0.009766,0.001569,False
12,Audio,1,4,0.002007,-0.010742,0.002365,False
12,Audio,5,8,0.001385,-0.015625,0.001906,False
12,Audio,9,12,0.002312,-0.023112,0.003083,True
12,Audio,13,16,0.000129,-0.008464,0.000411,False
12,Audio,17,20,0.000529,-0.010742,0.000887,False
12,Audio,21,24,0.000393,-0.004557,0.000545,False
12,Audio,25,28,0.000861,-0.017253,0.001436,False
12,Audio,29,32,0.00054,-0.010417,0.000887,False
12,Audio,33,36,0.001505,-0.018229,0.002113,False
12,Audio,37,40,0.001329,-0.00944,0.001643,False
12,Audio,41,42,0.001181,-0.013021,0.001615,False
13,Text,1,4,0.024679,-0.005219,0.024853,False
13,Text,5,8,0.029827,-0.007233,0.030068,True
13,Text,9,12,0.006334,0.007507,0.006584,False
13,Text,13,16,0.010891,0.003988,0.011024,False
13,Text,17,20,0.016637,0.006917,0.016867,False
